time,temperatuer_high,temperature_low,temperatureDelta,晴,云,阴,雨,雾,霾,雪,沙,雷,无持续风向,北风,东北风,南风,wind_power,good,bad,other,kouzhaoWeiboNum,ration,target
2013-4-14,16,5,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,14,34,0,11,1.68922818,75.04347826
2013-4-15,20,7,13,1,0,1,0,0,0,0,0,0,1,0,0,1,4,2,44,4,19,1.695473696,102.8695652
2013-4-16,20,5,15,1,0,0,0,0,0,0,0,0,1,1,0,0,4,3,54,4,16,1.949872477,94.08695652
2013-4-17,18,8,10,0,1,0,0,0,0,0,0,0,1,1,0,0,5,3,38,5,12,1.662196925,66.47826087
2013-4-18,14,5,9,1,0,1,0,0,0,0,0,0,1,0,0,0,3,27,35,3,20,2.017521227,48.69565217
2013-4-19,6,2,4,0,0,1,1,0,0,0,0,0,1,0,0,0,3,7,51,4,9,1.998392065,64.43478261
2013-4-20,16,5,11,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,40,1,3,1.728203968,95.73913043
2013-4-21,18,7,11,0,1,0,0,0,0,0,0,0,1,0,0,1,4,2,42,4,5,1.653682161,155
2013-4-22,19,9,10,0,1,0,0,1,0,0,0,0,1,0,0,1,4,3,61,4,28,2.194749653,213.0869565
2013-4-23,16,8,8,0,1,0,1,0,0,0,0,0,1,0,0,0,3,3,86,8,51,2.92381031,236.3913043
2013-4-24,23,10,13,1,1,0,0,0,0,0,0,0,1,1,0,0,4,12,53,11,31,2.446993383,109.6086957
2013-4-25,23,8,15,1,0,0,0,0,0,0,0,0,1,1,0,0,4,22,22,4,13,1.638291483,55.17391304
2013-4-26,23,9,14,0,1,0,0,0,0,0,0,0,1,0,0,0,3,5,39,7,10,1.87267381,91.60869565
2013-4-27,23,11,12,0,1,1,0,0,0,0,0,0,1,0,0,0,3,3,42,6,17,1.728547682,100.1304348
2013-4-28,19,11,8,1,1,1,1,0,0,0,0,0,1,1,0,0,4,5,38,0,8,1.482894826,98.2173913
2013-4-29,27,13,14,1,0,0,0,0,0,0,0,0,1,1,0,0,5,9,22,1,12,1.263873452,69.65217391
2013-4-30,27,10,17,1,1,0,0,0,0,0,0,0,1,1,0,0,4,1,12,3,3,0.457436521,66.34782609
2013-5-1,25,12,13,1,1,0,0,0,0,0,0,0,1,0,0,1,4,1,7,2,7,0.314376446,79.69565217
2013-5-2,23,11,12,1,1,1,1,0,0,0,0,0,1,0,0,1,4,4,17,2,8,0.67229783,103.3478261
2013-5-3,22,12,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,8,3,9,0.308116909,98.13043478
2013-5-4,27,13,14,1,1,0,0,0,1,0,0,0,1,0,0,0,3,3,11,6,3,0.591083673,123.2173913
2013-5-5,30,16,14,1,1,0,0,1,1,0,0,0,1,0,0,0,3,2,34,2,25,1.156775855,225.1363636
2013-5-6,30,17,13,0,1,0,0,0,1,0,0,0,1,0,0,0,3,3,91,10,61,2.830751753,263.2608696
2013-5-7,30,17,13,1,1,1,0,0,1,0,0,0,1,0,0,1,4,7,62,3,53,1.902217544,207.9565217
2013-5-8,26,16,10,0,1,1,1,0,1,0,0,0,1,0,0,1,4,1,35,4,25,1.12581921,186.4782609
2013-5-9,22,14,8,1,0,1,1,0,0,0,0,0,1,1,0,0,4,3,30,5,9,1.017276963,72
2013-5-10,31,14,17,1,1,0,0,0,0,0,0,0,1,1,0,0,4,1,16,4,7,0.61186742,68.43478261
2013-5-11,33,16,17,1,1,0,0,0,0,0,0,0,1,1,0,0,4,0,10,1,8,0.414944084,79.04347826
2013-5-12,30,16,14,1,1,0,0,0,0,0,0,0,1,0,0,0,3,3,20,3,5,0.752489919,79.26086957
2013-5-13,28,18,10,1,1,1,0,0,0,0,0,0,1,1,0,0,4,0,29,27,12,1.690237219,123.9130435
2013-5-14,30,14,16,1,1,0,0,0,0,0,0,0,1,1,0,0,4,0,9,5,9,0.422772295,85.47826087
2013-5-15,29,15,14,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,9,4,1,0.420292977,119.3478261
2013-5-16,26,16,10,0,1,1,1,0,0,0,0,0,1,0,0,0,3,1,19,2,6,0.722105524,117.9565217
2013-5-17,25,16,9,1,1,1,1,0,0,0,0,0,1,0,0,0,3,0,27,5,10,1.051319428,150.1304348
2013-5-18,27,17,10,1,1,1,1,0,1,0,0,1,1,0,0,1,4,1,25,1,12,0.826563648,151.3913043
2013-5-19,28,14,14,1,1,1,1,0,0,0,0,1,0,1,0,0,5,2,21,7,7,0.836972458,99
2013-5-20,31,18,13,1,1,0,0,0,0,0,0,0,1,0,0,1,4,2,15,1,11,0.460024846,95.65217391
2013-5-21,31,18,13,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,17,2,8,0.47166324,141.0434783
2013-5-22,29,17,12,1,1,1,0,0,0,0,0,0,1,0,0,1,4,0,19,4,11,0.634054893,110.9565217
2013-5-23,29,19,10,0,1,1,1,0,0,0,0,0,1,0,0,0,3,1,12,4,13,0.464619992,118
2013-5-24,30,17,13,0,1,1,1,0,0,0,0,0,1,0,0,0,3,0,33,6,27,1.035367988,127.3043478
2013-5-25,30,19,11,1,1,1,0,0,0,0,0,0,1,0,0,0,3,1,9,2,8,0.471617272,137.4347826
2013-5-26,23,17,6,0,0,1,1,1,0,0,0,0,1,0,0,0,3,3,16,2,5,0.691434247,127.3913043
2013-5-27,26,17,9,0,1,1,1,1,0,0,0,0,1,0,0,0,3,1,13,6,7,0.557931486,82.7826087
2013-5-28,24,17,7,1,1,1,1,0,0,0,0,0,1,1,0,0,4,1,11,4,4,0.45950498,97.73913043
2013-5-29,30,15,15,1,1,0,0,0,0,0,0,0,1,0,0,0,3,6,15,9,9,0.834376842,55.69565217
2013-5-30,33,19,14,1,1,0,0,0,0,0,0,0,1,0,0,1,4,1,7,3,6,0.287458627,115.7391304
2013-5-31,32,19,13,1,1,1,1,0,0,0,0,0,1,0,0,1,4,0,12,3,2,0.407510069,142.8695652
2013-6-1,32,18,14,1,1,1,1,0,0,0,0,0,1,0,0,0,3,0,9,2,3,0.391867674,94.2173913
2013-6-2,27,18,9,1,0,1,1,1,1,0,0,1,1,0,0,0,3,2,32,1,13,0.996527224,214.5217391
2013-6-3,33,19,14,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,27,2,13,0.907884474,170.6956522
2013-6-4,26,18,8,0,0,1,1,0,0,0,0,1,1,0,0,0,3,0,28,6,21,0.964222356,160.0869565
2013-6-5,24,19,5,0,0,1,1,1,0,0,0,0,1,0,0,0,3,1,26,10,9,1.106502784,164.3043478
2013-6-6,22,19,3,0,0,1,1,1,0,0,0,1,1,0,0,0,3,2,34,4,20,1.14114395,169.6086957
2013-6-7,22,19,3,0,0,1,1,1,0,0,0,1,1,0,0,0,3,2,28,7,16,0.956088932,164.3913043
2013-6-8,23,18,5,0,0,1,1,1,0,0,0,0,1,0,0,0,3,2,32,8,22,1.192795472,195.826087
2013-6-9,20,16,4,0,0,1,1,0,0,0,0,0,1,0,0,0,3,2,16,1,8,0.521428328,54.73913043
2013-6-10,26,15,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,14,1,5,0.464288404,51.73913043
2013-6-11,27,16,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2,17,2,4,0.655030588,84
2013-6-12,29,17,12,1,1,0,1,0,0,0,0,1,1,0,0,0,3,1,6,3,3,0.340509516,123.5217391
2013-6-13,30,21,9,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,14,2,8,0.740999337,161.9130435
2013-6-14,30,21,9,1,1,0,0,1,1,0,0,0,1,0,0,1,4,1,12,4,6,0.464012107,177.5652174
2013-6-15,33,22,11,1,1,1,0,1,1,0,0,0,1,0,0,1,4,0,16,4,6,0.699682744,181.1304348
2013-6-16,27,20,7,0,0,1,1,0,0,0,0,1,1,0,0,0,3,1,30,2,6,1.01641037,224
2013-6-17,31,21,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,4,33,3,4,1.17156333,97.91304348
2013-6-18,33,22,11,1,1,1,0,0,0,0,0,0,1,0,0,0,3,1,15,7,4,0.673311488,102.9130435
2013-6-19,34,23,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,3,32,6,8,1.282092795,106.8636364
2013-6-20,32,23,9,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,36,4,10,1.177640782,97.43478261
2013-6-21,32,22,10,1,1,1,0,0,0,0,0,0,1,0,0,0,3,2,29,8,13,1.133246151,83.60869565
2013-6-22,24,20,4,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,18,4,11,0.695597801,68.82608696
2013-6-23,31,22,9,1,1,1,0,0,0,0,0,0,1,0,0,0,3,1,7,4,3,0.391419991,120.4782609
2013-6-24,31,22,9,0,1,1,1,0,0,0,0,1,1,0,0,0,3,0,51,3,9,1.193446577,155.6956522
2013-6-25,27,21,6,0,1,1,1,0,0,0,0,1,1,0,0,0,3,1,10,2,5,0.371694291,147.4782609
2013-6-26,29,22,7,0,1,0,0,1,0,0,0,0,1,0,0,0,3,1,17,4,9,0.574815181,187.9565217
2013-6-27,34,23,11,1,1,0,0,1,1,0,0,0,1,0,0,0,3,1,25,3,8,0.86352686,156.8695652
2013-6-28,30,21,9,0,0,1,1,1,1,0,0,0,1,0,0,0,3,2,144,7,81,4.435320169,314.2173913
2013-6-29,27,22,5,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,45,2,10,1.473649041,139.173913
2013-6-30,28,22,6,0,0,1,1,0,0,0,0,1,1,0,0,0,3,1,69,3,21,2.105040762,255.5217391
2013-7-1,27,20,7,0,0,0,1,1,1,0,0,0,1,0,0,0,3,0,95,20,40,3.188239548,207.8695652
2013-7-2,34,23,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,5,49,5,15,1.727767796,57.7826087
2013-7-3,36,24,12,1,1,0,0,0,0,0,0,0,1,0,0,0,3,3,18,1,8,0.750243803,98.40909091
2013-7-4,35,23,12,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,16,3,3,0.626847254,85.43478261
2013-7-5,36,23,13,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2,7,4,6,0.446166578,87.82608696
2013-7-6,35,25,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,33,2,1,1.13453941,158.4782609
2013-7-7,32,24,8,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,13,2,1,0.537606694,141.5217391
